"Title","English.title","Runtime","Producer","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Лига справедливости","Justice League",110,"Зак Снайдер","$300000000",6.223,75362,6.50295,295501
"Форсаж 8","The Fate of the Furious",136,"Ф. Гэри Грей","$250000000",6.185,68786,6.7017,170092
"Пираты Карибского моря: Мертвецы не рассказывают сказки","Pirates of the Caribbean: Dead Men Tell No Tales",129,"Хоаким Роннинг...","$230000000",6.563,103138,6.60212,212519
"Трансформеры: Последний рыцарь","Transformers: The Last Knight",154,"Майкл Бэй","$217000000",5.566,39993,5.20109,109209
"Стражи Галактики. Часть 2","Guardians of the Galaxy Vol. 2",136,"Джеймс Ганн","$200000000",7.513,142260,7.70424,424545
"Конг: Остров черепа","Kong: Skull Island",118,"Джордан Вот-Робертс","$185000000",6.454,58533,6.70224,224259
"Тор: Рагнарёк","Thor: Ragnarok",130,"Тайка Вайтити","$180000000",7.551,116379,7.90406,406251
"Валериан и город тысячи планет","Valerian and the City of a Thousand Planets",137,"Люк Бессон","$177200000",6.734,71915,6.5013,130258
"Меч короля Артура","King Arthur: Legend of the Sword",126,"Гай Ричи","$175000000",7.138,111642,6.80159,159029
"Тачки 3","Cars 3",103,"Брайан Фи","$175000000",7.09,22621,6.8052,52536
"Человек-паук: Возвращение домой","Spider-Man: Homecoming",133,"Джон Уоттс","$175000000",7.037,100194,7.50376,376033
"Красавица и чудовище","Beauty and the Beast",129,"Билл Кондон","$160000000",6.729,63953,7.20221,221807
"Бегущий по лезвию 2049","Blade Runner 2049",164,"Дени Вильнёв","$150000000",7.621,117807,8.00345,345898
"Планета обезьян: Война","War for the Planet of the Apes",140,"Мэтт Ривз","$150000000",6.918,46314,7.50188,188916
"Чудо-женщина","Wonder Woman",141,"Пэтти Дженкинс","$149000000",6.75,95618,7.50448,448797
"Босс-молокосос","The Boss Baby",87,"Том МакГрат","$125000000",6.463,40884,6.3086,86506
"Мумия","The Mummy",110,"Алекс Куртцман","$125000000",5.651,53792,5.50144,144256
"Геошторм","Geostorm",109,"Дин Девлин","$120000000",5.692,34035,5.3071,71522
"Фердинанд","Ferdinand",108,"Карлос Салдана","$111000000",7.377,22326,6.7035,35070
"Призрак в доспехах","Ghost in the Shell",106,"Руперт Сандерс","$110000000",6.396,72764,6.40164,164715
"Kingsman: Золотое кольцо","Kingsman: The Golden Circle",141,"Мэттью Вон","$104000000",6.862,84875,6.8022,220015
"Дюнкерк","Dunkirk",106,"Кристофер Нолан","$100000000",7.298,97710,7.9043,430697
"Могучие рейнджеры","Power Rangers",124,"Дин Израэлайт","$100000000",5.551,17669,6.0087,87533
"Логан","Logan",137,"Джеймс Мэнголд","$97000000",7.466,147647,8.10521,521298
"Чужой: Завет","Alien: Covenant",122,"Ридли Скотт","$97000000",5.963,68963,6.40213,213486
"Джуманджи: Зов джунглей","Jumanji: Welcome to the Jungle",119,"Джейк Кэздан","$90000000",6.831,68603,7.00217,217023
"Величайший шоумен","The Greatest Showman",105,"Майкл Грэйси","$84000000",7.562,51689,7.70167,167835
"Лего Фильм: Бэтмен","The Lego Batman Movie",104,"Крис МакКей","$80000000",6.98,28945,7.30106,106557
"Гадкий я 3","Despicable Me 3",89,"Кайл Балда...","$80000000",6.229,34192,6.3083,83138
"ЛЕГО Ниндзяго Фильм","The Lego Ninjago Movie",104,"Чарли Бин...","$70000000",6.205,4748,6.0016,16337
